s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Species
VBS00059,1175-S01-0059,2009-12-06,Thmar Da,Cambodia,12.155,102.735,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_minimus_A
VBS00060,1175-S01-0060,2010-05-01,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_minimus_A
VBS00061,1175-S01-0061,2010-05-02,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_minimus_A
VBS00062,1175-S01-0062,2009-02-26,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,WGA,Anopheles_minimus_A
VBS00063,1175-S01-0063,2013-08-17,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,1,Female,Wild caught adult,,WGA,Anopheles_jeyporiensis
VBS00064,1175-S01-0064,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,1,Female,Wild caught adult,,WGA,Anopheles_jeyporiensis
VBS00065,1175-S01-0065,2013-07-22,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,5,Female,Wild caught adult,,WGA,Anopheles_jeyporiensis
VBS00066,1175-S01-0066,2013-07-23,Sayas,Cambodia,13.5476389,107.024555,outdoor,human landing catch,24,Female,Wild caught adult,,WGA,Anopheles_jeyporiensis
VBS00067,1175-S01-0067,2009-11-22,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,WGA,Anopheles_pampanai
VBS00068,1175-S01-0068,2010-01-19,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_pampanai
VBS00069,1175-S01-0069,2010-02-24,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_pampanai
VBS00070,1175-S01-0070,2010-05-01,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_pampanai
